programming_languages,frequency,job_id,state,report_year
javascript,26,1,dmv,2024
python,49,1,dmv,2024
java,51,1,dmv,2024
c#,10,1,dmv,2024
c++,18,1,dmv,2024
typescript,10,1,dmv,2024
php,2,1,dmv,2024
swift,1,1,dmv,2024
ruby,1,1,dmv,2024
kotlin,0,1,dmv,2024
rust,0,1,dmv,2024
sql,24,1,dmv,2024
dart,0,1,dmv,2024
scala,10,1,dmv,2024
shell,0,1,dmv,2024
powershell,1,1,dmv,2024
perl,4,1,dmv,2024
r,5,1,dmv,2024
groovy,0,1,dmv,2024
matlab,3,1,dmv,2024
vba,0,1,dmv,2024
lua,0,1,dmv,2024
julia,0,1,dmv,2024
haskell,0,1,dmv,2024
object-pascal,0,1,dmv,2024
objective-c,0,1,dmv,2024
clojure,0,1,dmv,2024
elixir,0,1,dmv,2024
elm,0,1,dmv,2024
erlang,0,1,dmv,2024
apex,0,1,dmv,2024
fortran,0,1,dmv,2024
cobol,8,1,dmv,2024
f#,0,1,dmv,2024
common-lisp,0,1,dmv,2024
ada,0,1,dmv,2024
scheme,0,1,dmv,2024
prolog,0,1,dmv,2024
assembly-language,0,1,dmv,2024
vb.net,0,1,dmv,2024
actionscript,0,1,dmv,2024
crystal,0,1,dmv,2024
coffeescript,0,1,dmv,2024
ocaml,0,1,dmv,2024
abap,0,1,dmv,2024
scratch,2,1,dmv,2024
racket,0,1,dmv,2024
smalltalk,0,1,dmv,2024
labview,0,1,dmv,2024
pl/sql,0,1,dmv,2024
sas,2,1,dmv,2024
tcl,0,1,dmv,2024
awk,0,1,dmv,2024
nim,0,1,dmv,2024
reason,2,1,dmv,2024
solidity,0,1,dmv,2024
puppet,0,1,dmv,2024
purescript,0,1,dmv,2024
zig,0,1,dmv,2024
chapel,0,1,dmv,2024
mercury,0,1,dmv,2024
io,0,1,dmv,2024
cobolscript,0,1,dmv,2024
ring,0,1,dmv,2024
bison,0,1,dmv,2024
korn-shell,0,1,dmv,2024
ceylon,0,1,dmv,2024
vala,0,1,dmv,2024
livescript,0,1,dmv,2024
ballerina,0,1,dmv,2024
picolisp,0,1,dmv,2024
fantom,0,1,dmv,2024
pike,0,1,dmv,2024
haxe,0,1,dmv,2024
idris,0,1,dmv,2024
icon,0,1,dmv,2024
q#,0,1,dmv,2024
j#,0,1,dmv,2024
applescript,0,1,dmv,2024
squirrel,0,1,dmv,2024
postscript,0,1,dmv,2024
maple,0,1,dmv,2024
mql4/5,0,1,dmv,2024
ren'py,0,1,dmv,2024
oberon,0,1,dmv,2024
wolfram-language,0,1,dmv,2024
xbase,0,1,dmv,2024
sparql,0,1,dmv,2024
angelscript,0,1,dmv,2024
xojo,0,1,dmv,2024
yacc,0,1,dmv,2024
janus,0,1,dmv,2024
raku,0,1,dmv,2024
f*,0,1,dmv,2024
systemverilog,0,1,dmv,2024
json,8,1,dmv,2024
yaml,0,1,dmv,2024
excel-vba,0,1,dmv,2024
shell-scripting,1,1,dmv,2024
apl,6,1,dmv,2024
spss,0,1,dmv,2024
stata,1,1,dmv,2024
