software,frequency,job_id
aws,10,0
azure,7,0
google-cloud,0,0
ibm-cloud,0,0
oracle,15,0
salesforce,2,0
vmware-cloud,0,0
alibaba-cloud,0,0
digitalocean,0,0
heroku,0,0
openstack,0,0
kubernetes,0,0
docker,0,0
ansible,0,0
terraform,0,0
apache-hadoop,0,0
spark,3,0
ec2,0,0
google-compute-engine,0,0
azure-virtual-machines,0,0
aws-lambda,0,0
google-cloud-functions,0,0
azure-functions,0,0
s3,1,0
google-cloud-storage,0,0
azure-blob-storage,0,0
red-hat-openshift,0,0
cloud-foundry,0,0
jenkins,0,0
github-actions,0,0
gitlab-ci/cd,0,0
amazon-rds,0,0
google-cloud-sql,0,0
azure-sql-database,0,0
mongodb-atlas,0,0
cassandra,1,0
redis,1,0
elasticsearch,0,0
rabbitmq,0,0
apache-kafka,0,0
visual-studio,2,0
intellij-idea,0,0
eclipse,1,0
pycharm,0,0
atom,0,0
sublime-text,0,0
netbeans,0,0
android-studio,0,0
xcode,0,0
webstorm,0,0
phpstorm,0,0
rubymine,0,0
clion,0,0
appcode,0,0
rider,0,0
goland,0,0
komodo-ide,0,0
aptana-studio,0,0
code::blocks,0,0
qt-creator,0,0
jupyter-notebook,0,0
spyder,0,0
rstudio,0,0
anaconda,0,0
light-table,0,0
brackets,0,0
bluej,0,0
thonny,0,0
wing-ide,0,0
emacs,0,0
vim,0,0
coda,0,0
komodo-edit,0,0
monodevelop,0,0
sharpdevelop,0,0
codelite,0,0
geany,0,0
kdevelop,0,0
labview,0,0
greenfoot,0,0
oracle-jdeveloper,0,0
aws-cloud9,0,0
zend-studio,0,0
slickedit,0,0
eclipse-che,0,0
codewarrior,0,0
delphi,0,0
scratch,0,0
microsoft-office-suite,6,0
google-workspace,0,0
slack,0,0
zoom,0,0
microsoft-teams,0,0
trello,0,0
asana,0,0
monday.com,0,0
notion,0,0
evernote,0,0
adobe-creative-cloud,0,0
autocad,0,0
sketch,0,0
figma,0,0
invision,0,0
jira,15,0
confluence,10,0
hubspot,0,0
mailchimp,0,0
zoho-crm,0,0
quickbooks,0,0
sap-erp,0,0
oracle-erp-cloud,1,0
tableau,31,0
power-bi,18,0
google-analytics,4,0
matlab,0,0
wrike,0,0
basecamp,0,0
github,0,0
gitlab,0,0
bitbucket,0,0
vmware,1,0
oracle-database,0,0
mysql,2,0
microsoft-sql-server,2,0
postgresql,1,0
mongodb,3,0
adobe,0,0
canva,0,0
hootsuite,0,0
sprout-social,0,0
buffer,0,0
zendesk,0,0
freshdesk,0,0
dropbox,0,0
google-drive,0,0
microsoft-onedrive,0,0
norton-antivirus,0,0
mcafee-security,0,0
cisco-webex,0,0
gotomeeting,0,0
teamviewer,0,0
sketchup,0,0
autodesk-revit,0,0
ms-office,4,0
excel,38,0
word,13,0
