years_experience_recorded,job_id,state,report_year
3,0,dmv,2024
1,0,dmv,2024
5,0,dmv,2024
5,0,dmv,2024
2,0,dmv,2024
2,0,dmv,2024
3,0,dmv,2024
4,0,dmv,2024
5,0,dmv,2024
0,0,dmv,2024
1,0,dmv,2024
2,0,dmv,2024
0,0,dmv,2024
1,0,dmv,2024
2,0,dmv,2024
6,0,dmv,2024
3,0,dmv,2024
3,0,dmv,2024
10,0,dmv,2024
7,0,dmv,2024
8,0,dmv,2024
9,0,dmv,2024
10,0,dmv,2024
3,0,dmv,2024
3,0,dmv,2024
3,0,dmv,2024
5,0,dmv,2024
5,0,dmv,2024
5,0,dmv,2024
1,0,dmv,2024
4,0,dmv,2024
4,0,dmv,2024
7,0,dmv,2024
3,0,dmv,2024
4,0,dmv,2024
5,0,dmv,2024
1,0,dmv,2024
3,0,dmv,2024
11,0,dmv,2024
12,0,dmv,2024
13,0,dmv,2024
14,0,dmv,2024
15,0,dmv,2024
11,0,dmv,2024
10,0,dmv,2024
10,0,dmv,2024
10,0,dmv,2024
10,0,dmv,2024
10,0,dmv,2024
10,0,dmv,2024
8,0,dmv,2024
10,0,dmv,2024
10,0,dmv,2024
3,0,dmv,2024
4,0,dmv,2024
5,0,dmv,2024
2,0,dmv,2024
2,0,dmv,2024
2,0,dmv,2024
2,0,dmv,2024
10,0,dmv,2024
4,0,dmv,2024
3,0,dmv,2024
5,0,dmv,2024
5,0,dmv,2024
5,0,dmv,2024
15,0,dmv,2024
5,0,dmv,2024
15,0,dmv,2024
5,0,dmv,2024
3,0,dmv,2024
5,0,dmv,2024
5,0,dmv,2024
5,0,dmv,2024
3,0,dmv,2024
1,0,dmv,2024
2,0,dmv,2024
2,0,dmv,2024
3,0,dmv,2024
4,0,dmv,2024
2,0,dmv,2024
10,0,dmv,2024
10,0,dmv,2024
10,0,dmv,2024
10,0,dmv,2024
10,0,dmv,2024
5,0,dmv,2024
5,0,dmv,2024
4,0,dmv,2024
