Movie (Year),Year,Studio,Domestic,Worldwide,Review
The Dark Knight (2008),2008,DC,666.3,1253.1,92
Spider-Man 2 (2004),2004,Marvel,539.6,1132.1,88
Iron Man (2008),2008,Marvel,397.8,731.1,89
Superman (1978),1978,DC,514.8,1151.1,88
Guardians of the Galaxy (2014),2014,Marvel,368,851.2,88
The Dark Knight Rises (2012),2012,DC,516.3,1233.3,88
Black Panther (2018),2018,Marvel,400,704,88
Logan (2017),2017,Marvel,226.3,226.3,86
The Avengers (2012),2012,Marvel,702.5,1703.6,86
Thor: Ragnarok (2017),2017,Marvel,314.8,853.6,86
X-Men: Days of Future Past (2014),2014,Marvel,256.8,821.4,84
Captain America: Civil War (2016),2016,Marvel,420.1,1192.9,85
Superman II (1980),1980,DC,383.6,803,84
Deadpool (2016),2016,Marvel,378.6,814.2,80
Wonder Woman (2017),2017,DC,413.6,822.8,84
Spider-Man: Homecoming (2017),2017,Marvel,334.2,880.2,83
Spider-Man (2002),2002,Marvel,624.4,1270.8,82
Batman Begins (2005),2005,DC,287.8,522.4,82
Captain America: The Winter Soldier (2014),2014,Marvel,285.2,784.2,82
X-Men United (2003),2003,Marvel,319.8,606.5,83
Doctor Strange (2016),2016,Marvel,241.2,702.8,81
Guardians of the Galaxy Vol. 2 (2017),2017,Marvel,389.8,863.6,80
Captain America: The First Avenger (2011),2011,Marvel,199.8,419.2,77
Avengers: Age of Ultron (2015),2015,Marvel,479.9,1486.9,77
Batman (1989),1989,DC,564.6,926.5,75
Iron Man 3 (2013),2013,Marvel,438.1,1325.8,75
X-Men (2000),2000,Marvel,261.8,493.2,76
Batman Returns (1992),1992,DC,352,576.7,75
Superman Returns (2006),2006,DC,272.8,533.1,74
The Amazing Spider-Man (2012),2012,Marvel,295.3,847.7,75
Ant-Man (2015),2015,Marvel,191.7,552.5,77
Iron Man 2 (2010),2010,Marvel,355.2,709.3,71
Thor (2011),2011,Marvel,204.8,508.3,72
X-Men: First Class (2011),2011,Marvel,165.6,400,81
Thor: The Dark World (2013),2013,Marvel,227.7,711.4,68
Man of Steel (2013),2013,DC,321.1,737.1,66
Spider-Man 3 (2007),2007,Marvel,438.8,1161.5,64
The Amazing Spider-Man 2 (2014),2014,Marvel,222.7,778.4,64
X-Men: The Last Stand (2006),2006,Marvel,319.5,626.2,64
Justice League (2017),2017,DC,228.8,657.6,62
Hulk (2003),2003,Marvel,196.6,365,60
Batman v Superman: Dawn of Justice (2016),2016,DC,342.6,905.6,55
The Incredible Hulk (2008),2008,Marvel,168.4,329.1,68
Batman Forever (1995),1995,DC,379.5,693.9,52
The Wolverine (2013),2013,Marvel,146.3,457.7,69
X-Men Origins: Wolverine (2009),2009,Marvel,215.1,446.2,49
Suicide Squad (2016),2016,DC,337.1,773.2,47
X-Men: Apocalypse (2016),2016,Marvel,161.2,564.1,60
Watchmen (2009),2009,DC,128.6,221.6,68
Fantastic 4: Rise of the Silver Surfer (2007),2007,Marvel,172,376.9,48
Fantastic Four (2005),2005,Marvel,216.8,463.3,39
Blade II (2002),2002,Marvel,127.4,239.7,61
Blade (1998),1998,Marvel,134,250.9,58
Daredevil (2003),2003,Marvel,152.5,266.5,49
Superman III (1983),1983,DC,170.7,315.9,39
Batman & Robin (1997),1997,DC,209.7,465.5,26
Ghost Rider (2007),2007,Marvel,151,298.2,39
Green Lantern (2011),2011,DC,131.9,248.7,44
Batman the Movie (1966),1966,DC,34.7,34.7,72
Blade: Trinity (2004),2004,Marvel,75.7,186.2,42
Swamp Thing (1982),1982,DC,19.6,19.6,56
The Punisher (2004),2004,Marvel,48.8,79,43
Ghost Rider: Spirit of Vengeance (2011),2011,Marvel,58.6,149.9,36
Fantastic Four (2015),2015,Marvel,59.7,178.7,26
Elektra (2005),2005,Marvel,34.2,79.4,32
Howard the Duck (1986),1986,Marvel,39.4,91.8,30
Catwoman (2004),2004,DC,58.1,118.6,24
Punisher: War Zone (2008),2008,Marvel,10.1,12.6,40
Supergirl (1984),1984,DC,38.2,70.6,25
Jonah Hex (2010),2010,DC,12,12.4,32
Superman IV: The Quest for Peace (1987),1987,DC,36,68.4,23
Steel (1997),1997,DC,3.3,6.2,19
